id,prev_default,income,credit_age,intent,loan_amount,lti,grade,cleanlab_is_label_issue,cleanlab_label_issue_score,cleanlab_suggested_label,cleanlab_corrected_label,cleanlab_action,cleanlab_top_labels,cleanlab_top_probs,cleanlab_given_label_prob,cleanlab_predicted_label,cleanlab_predicted_label_prob,cleanlab_suggested_label_confidence_score,cleanlab_is_ambiguous,cleanlab_ambiguous_score,cleanlab_is_well_labeled,cleanlab_is_outlier,cleanlab_outlier_score,cleanlab_is_initially_unlabeled,cleanlab_has_rare_class
146,Yes,47000,2,HOMEIMPROVEMENT,25000,53.191489361702125,D,False,0.1741990745067596,,,,"[""D"", ""F"", ""C"", ""A""]","[0.7738545536994934, 0.1222527027130127, 0.08207050710916519, 0.016812928020954132]",0.7738545536994934,D,0.7738545536994934,0.7738545536994934,False,0.584272302618196,False,False,,False,False
152,No,48000,2,VENTURE,25000,52.083333333333336,F,False,0.4319126605987549,,,,"[""F"", ""B"", ""D"", ""C"", ""A""]","[0.4828822910785675, 0.34670761227607727, 0.1294480264186859, 0.027852142229676247, 0.013109905645251274]",0.4828822910785675,F,0.4828822910785675,0.4828822910785675,False,0.6749235848838429,False,False,,False,False
173,No,61959,2,MEDICAL,25000,40.34926322245356,,False,0.0,C,,unresolved,"[""C"", ""D"", ""B"", ""F"", ""A""]","[0.392649382352829, 0.2611394226551056, 0.25620612502098083, 0.07793574035167694, 0.01206933706998825]",0.0,C,0.392649382352829,0.392649382352829,False,,False,False,,True,False
183,No,200000,4,DEBTCONSOLIDATION,9000,4.5,A,False,0.6160445362329483,B,,unresolved,"[""B"", ""C"", ""A"", ""D"", ""F""]","[0.4219675660133362, 0.3079996705055237, 0.18987849354743958, 0.06533370912075043, 0.014820538461208344]",0.1898784935474395,B,0.4219675660133362,0.4219675660133362,True,0.939881995202543,False,False,,False,False
194,Yes,68000,3,PERSONAL,25000,36.76470588235294,D,False,0.1635473631322384,,,,"[""D"", ""F"", ""C"", ""A""]","[0.7926681041717529, 0.1197628304362297, 0.07268300652503967, 0.012222373858094215]",0.7926681041717529,D,0.7926681041717529,0.7926681041717529,False,0.5592231674783877,False,False,,False,False
199,No,69996,3,EDUCATION,25000,35.71632664723698,D,False,0.4319389015436172,,,,"[""D"", ""B"", ""F"", ""C"", ""A""]","[0.5109334588050842, 0.3748112618923187, 0.06997791677713394, 0.03350131958723068, 0.010776063427329063]",0.5109334588050842,D,0.5109334588050842,0.5109334588050842,False,0.7462218643410248,False,False,,False,False
204,Yes,66000,2,VENTURE,25000,37.878787878787875,D,False,0.132310289889574,,,,"[""D"", ""F"", ""C"", ""A""]","[0.8340901136398315, 0.09871069341897964, 0.05328988656401634, 0.010035693645477295]",0.8340901136398315,D,0.8340901136398315,0.8340901136398315,False,0.522741987174478,False,False,,False,False
226,Yes,79416,2,VENTURE,25000,31.47980255867835,D,False,0.1383709907531738,,,,"[""D"", ""F"", ""C"", ""A""]","[0.8231000900268555, 0.09984207153320312, 0.06179364398121834, 0.011309418827295303]",0.8231000900268555,D,0.8231000900268555,0.8231000900268555,False,0.5373243673655459,False,False,,False,False
253,No,85000,4,MEDICAL,25000,29.411764705882355,B,False,0.1979847326874733,,,,"[""B"", ""D"", ""F"", ""C"", ""A""]","[0.7530034184455872, 0.14897288382053375, 0.04479296877980232, 0.030554642900824547, 0.02267606556415558]",0.7530034184455872,B,0.7530034184455872,0.7530034184455872,False,0.6709783342057275,False,False,,False,False
273,Yes,79000,4,DEBTCONSOLIDATION,25000,31.64556962025317,D,False,0.1655481643974781,,,,"[""D"", ""C"", ""F"", ""B"", ""A""]","[0.7507007122039795, 0.0817970409989357, 0.08148299902677536, 0.07284816354513168, 0.013171089813113213]",0.7507007122039795,D,0.7507007122039795,0.7507007122039795,False,0.6510292755763487,False,False,,False,False
284,No,175000,3,PERSONAL,21000,12.0,B,False,0.537162259221077,,,,"[""C"", ""B"", ""D"", ""F"", ""A""]","[0.40826892852783203, 0.3339444100856781, 0.13383546471595764, 0.08143481612205505, 0.042516324669122696]",0.3339444100856781,C,0.408268928527832,0.408268928527832,False,0.8991242203192266,False,False,,False,False
287,Yes,88000,2,DEBTCONSOLIDATION,25000,28.40909090909091,D,False,0.4986952841281891,,,,"[""D"", ""F"", ""C"", ""A""]","[0.3400118350982666, 0.3374024033546448, 0.177463561296463, 0.13954776525497437]",0.3400118350982666,D,0.3400118350982666,0.3400118350982666,False,0.8101392676729104,False,False,,False,False
289,No,88000,4,VENTURE,25000,28.40909090909091,D,False,0.5108142793178558,,,,"[""B"", ""D"", ""F"", ""C"", ""A""]","[0.3485634922981262, 0.32693493366241455, 0.1262475550174713, 0.10815724730491638, 0.09009680151939392]",0.3269349336624145,B,0.3485634922981262,0.3485634922981262,False,0.9116783504010084,False,False,,False,False
291,No,88000,3,VENTURE,25000,28.40909090909091,D,False,0.4911645203828811,,,,"[""D"", ""B"", ""C"", ""F"", ""A""]","[0.3300616145133972, 0.31239065527915955, 0.12879128754138947, 0.1280890256166458, 0.10066746920347214]",0.3300616145133972,D,0.3300616145133972,0.3300616145133972,False,0.9288251121058614,False,False,,False,False
296,Yes,93000,2,DEBTCONSOLIDATION,25000,26.881720430107524,D,False,0.2059430256485939,,,,"[""D"", ""F"", ""C"", ""B"", ""A""]","[0.7490641474723816, 0.1609501987695694, 0.048647038638591766, 0.02269294671714306, 0.01864568330347538]",0.7490641474723816,D,0.7490641474723816,0.7490641474723816,False,0.5904265496895018,False,False,,False,False
300,No,174000,3,DEBTCONSOLIDATION,8800,5.057471264367816,C,False,0.3579411953687668,,,,"[""C"", ""A"", ""B"", ""D"", ""F""]","[0.510299563407898, 0.22618195414543152, 0.186393603682518, 0.05772539600729942, 0.01939956098794937]",0.510299563407898,C,0.510299563407898,0.510299563407898,False,0.9174675954110164,False,False,,False,False
310,Yes,159600,4,PERSONAL,30000,18.79699248120301,D,False,0.2991450428962707,,,,"[""D"", ""C"", ""F"", ""A""]","[0.6175991892814636, 0.21588927507400513, 0.10378673672676086, 0.058447979390621185]",0.6175991892814636,D,0.6175991892814636,0.6175991892814636,False,0.7426728544321233,False,False,,False,False
323,No,120000,2,MEDICAL,25000,20.833333333333336,B,False,0.2197880148887634,,,,"[""B"", ""D"", ""F"", ""C"", ""A""]","[0.7287715673446655, 0.16834759712219238, 0.05346279218792915, 0.028071926906704903, 0.021346112713217735]",0.7287715673446655,B,0.7287715673446655,0.7287715673446655,False,0.6816503496252938,False,False,,False,False
324,No,120000,2,EDUCATION,25000,20.833333333333336,B,False,0.1648181043565273,,,,"[""B"", ""D"", ""F"", ""C"", ""A""]","[0.7810678482055664, 0.11070405691862106, 0.05014226585626602, 0.03183036297559738, 0.026255549862980843]",0.7810678482055664,B,0.7810678482055664,0.7810678482055664,False,0.653322928572703,False,False,,False,False
327,No,108000,3,PERSONAL,25000,23.14814814814815,D,False,0.3794701844453811,,,,"[""D"", ""B"", ""F"", ""A"", ""C""]","[0.553732693195343, 0.31267306208610535, 0.06414448469877243, 0.03874288126826286, 0.030706822872161865]",0.553732693195343,D,0.553732693195343,0.553732693195343,False,0.7690494741235105,False,False,,False,False
328,No,129996,3,PERSONAL,25000,19.231360964952767,B,False,0.1432017609477043,,,,"[""B"", ""D"", ""F"", ""C"", ""A""]","[0.8070876002311707, 0.09349112212657928, 0.0591004341840744, 0.025756893679499626, 0.014563924632966518]",0.8070876002311707,B,0.8070876002311707,0.8070876002311707,False,0.6129168523476458,False,False,,False,False
330,No,130000,4,VENTURE,25000,19.230769230769234,B,False,0.1482900753617286,,,,"[""B"", ""F"", ""D"", ""C"", ""A""]","[0.7804178595542908, 0.07699801027774811, 0.07304125279188156, 0.0445098876953125, 0.025032928213477135]",0.7804178595542908,B,0.7804178595542908,0.7804178595542908,False,0.6504763675692254,False,False,,False,False
348,Yes,153000,2,DEBTCONSOLIDATION,24000,15.68627450980392,D,False,0.2846426367759704,,,,"[""D"", ""C"", ""B"", ""F"", ""A""]","[0.6093766689300537, 0.17866194248199463, 0.10782003402709961, 0.07657565921545029, 0.02756570465862751]",0.6093766689300537,D,0.6093766689300537,0.6093766689300537,False,0.7880461412290294,False,False,,False,False
353,Yes,16000,4,DEBTCONSOLIDATION,2275,14.21875,,False,0.0,C,,unresolved,"[""C"", ""D"", ""F"", ""A""]","[0.6766880750656128, 0.26543283462524414, 0.030888967216014862, 0.020424334332346916]",0.0,C,0.6766880750656128,0.6766880750656128,False,,False,False,,True,False
356,No,16000,4,MEDICAL,5600,35.0,A,False,0.6377522498369217,C,,unresolved,"[""C"", ""D"", ""A"", ""B"", ""F""]","[0.42782461643218994, 0.21070563793182373, 0.15232011675834656, 0.13688762485980988, 0.07226197421550751]",0.1523201167583465,C,0.4278246164321899,0.4278246164321899,True,0.9514082435013268,False,False,,False,False
382,No,56045,2,MEDICAL,24250,43.26880185565171,D,False,0.6167689263820648,,,,"[""B"", ""D"", ""F"", ""C"", ""A""]","[0.5178540349006653, 0.28431618213653564, 0.16425657272338867, 0.019392233341932297, 0.014181014150381088]",0.2843161821365356,B,0.5178540349006653,0.5178540349006653,False,0.7398948054737892,False,False,,False,False
383,Yes,74000,2,DEBTCONSOLIDATION,24250,32.77027027027027,D,False,0.1983349621295929,,,,"[""D"", ""F"", ""C"", ""A""]","[0.7591772675514221, 0.1558471918106079, 0.06517626345157623, 0.010216210968792439]",0.7591772675514221,D,0.7591772675514221,0.7591772675514221,False,0.572814066125613,False,False,,False,False
388,No,103000,2,PERSONAL,24250,23.54368932038835,D,False,0.4039082825183868,,,,"[""D"", ""B"", ""A"", ""F"", ""C""]","[0.5292310118675232, 0.3370475769042969, 0.07356937229633331, 0.04022927209734917, 0.019922707229852676]",0.5292310118675232,D,0.5292310118675232,0.5292310118675232,False,0.7898093144216599,False,False,,False,False
396,Yes,16800,2,HOMEIMPROVEMENT,4750,28.27380952380952,C,False,0.4065794348716736,,,,"[""C"", ""D"", ""F"", ""A""]","[0.5438060760498047, 0.35696494579315186, 0.055678170174360275, 0.04303634166717529]",0.5438060760498047,C,0.5438060760498047,0.5438060760498047,False,0.7622824742107853,False,False,,False,False
402,Yes,108000,3,HOMEIMPROVEMENT,24150,22.36111111111111,D,False,0.3240789473056793,,,,"[""D"", ""F"", ""C"", ""A""]","[0.6144823431968689, 0.26264023780822754, 0.0929044783115387, 0.024457698687911034]",0.6144823431968689,D,0.6144823431968689,0.6144823431968689,False,0.6484817750491376,False,False,,False,False
455,No,130000,3,DEBTCONSOLIDATION,24000,18.461538461538463,B,False,0.1941534653306007,,,,"[""B"", ""F"", ""D"", ""C"", ""A""]","[0.7204068899154663, 0.10871382057666779, 0.08305579423904419, 0.06270855665206909, 0.02511500008404255]",0.7204068899154663,B,0.7204068899154663,0.7204068899154663,False,0.6968348170066285,False,False,,False,False
474,Yes,18000,2,MEDICAL,5400,30.0,D,False,0.3064450621604919,,,,"[""D"", ""C"", ""F"", ""A""]","[0.6445968747138977, 0.2574869990348816, 0.05042150616645813, 0.04581056162714958]",0.6445968747138977,D,0.6445968747138977,0.6445968747138977,False,0.7226878765434064,False,False,,False,False
528,No,19200,3,VENTURE,2400,12.5,B,False,0.2754968404769897,,,,"[""B"", ""C"", ""D"", ""A"", ""F""]","[0.5947980284690857, 0.14579170942306519, 0.11448850482702255, 0.10845521837472916, 0.0364665687084198]",0.5947980284690857,B,0.5947980284690857,0.5947980284690857,False,0.8640292285994637,False,False,,False,False
537,No,47052,2,VENTURE,21250,45.16279860579784,B,False,0.1615399457514286,,,,"[""B"", ""F"", ""D"", ""C"", ""A""]","[0.7702524662017822, 0.09333235770463943, 0.0799204632639885, 0.04045194387435913, 0.016042720526456833]",0.7702524662017822,B,0.7702524662017822,0.7702524662017822,False,0.6427982132951477,False,False,,False,False
545,Yes,19200,4,HOMEIMPROVEMENT,1400,7.291666666666667,A,True,0.8057294432073832,D,,unresolved,"[""D"", ""C"", ""F"", ""A""]","[0.6481373310089111, 0.2588734030723572, 0.05260187014937401, 0.03667844459414482]",0.0366784445941448,D,0.6481373310089111,0.6481373310089111,False,0.7155710820342215,False,False,,False,False
556,No,19200,3,MEDICAL,5000,26.041666666666668,D,False,0.3744035959243774,,,,"[""D"", ""A"", ""B"", ""C"", ""F""]","[0.462997168302536, 0.2118043601512909, 0.19084259867668152, 0.09344752877950668, 0.0409083254635334]",0.462997168302536,D,0.462997168302536,0.462997168302536,False,0.917024218419946,False,False,,False,False
559,No,80000,3,MEDICAL,21000,26.25,B,False,0.1817072033882141,,,,"[""B"", ""F"", ""D"", ""C"", ""A""]","[0.7315253615379333, 0.09493976831436157, 0.08957456797361374, 0.044659748673439026, 0.03930054232478142]",0.7315253615379333,B,0.7315253615379333,0.7315253615379333,False,0.6953116255752553,False,False,,False,False
563,Yes,81000,3,EDUCATION,21000,25.925925925925924,F,False,0.356482520699501,,,,"[""F"", ""D"", ""C"", ""A""]","[0.5591995120048523, 0.27216455340385437, 0.13235661387443542, 0.028842918574810028]",0.5591995120048523,F,0.5591995120048523,0.5591995120048523,False,0.6442852293397822,False,False,,False,False
566,Yes,100000,3,PERSONAL,21000,21.0,D,False,0.3020282536745071,,,,"[""D"", ""C"", ""F"", ""A""]","[0.6137427687644958, 0.21779927611351013, 0.11509260535240173, 0.04520535096526146]",0.6137427687644958,D,0.6137427687644958,0.6137427687644958,False,0.7377363828896315,False,False,,False,False
592,No,20000,3,MEDICAL,4800,24.0,A,False,0.2720701396465301,,,,"[""A"", ""D"", ""B"", ""C"", ""F""]","[0.5902734994888306, 0.13441377878189087, 0.126067116856575, 0.12208500504493713, 0.02716057002544403]",0.5902734994888306,A,0.5902734994888306,0.5902734994888306,False,0.8790679286758583,False,False,,False,False
608,No,48500,4,VENTURE,20000,41.23711340206185,B,False,0.2262988537549972,,,,"[""B"", ""F"", ""D"", ""C"", ""A""]","[0.6876487135887146, 0.1402464210987091, 0.08338666707277298, 0.06015567481517792, 0.0285625159740448]",0.6876487135887146,B,0.6876487135887146,0.6876487135887146,False,0.7106324188151044,False,False,,False,False
631,No,54000,4,EDUCATION,20000,37.03703703703704,B,True,0.6802553981542587,D,,unresolved,"[""D"", ""B"", ""F"", ""C"", ""A""]","[0.6129071116447449, 0.2523963153362274, 0.07198245823383331, 0.041159503161907196, 0.021554647013545036]",0.2523963153362274,D,0.6129071116447449,0.6129071116447449,False,0.7395550977062157,False,False,,False,False
657,No,60000,2,PERSONAL,20000,33.33333333333333,B,False,0.1529479995369911,,,,"[""B"", ""F"", ""D"", ""C"", ""A""]","[0.7730677723884583, 0.07896377146244049, 0.07771176099777222, 0.038152068853378296, 0.03210458904504776]",0.7730677723884583,B,0.7730677723884583,0.7730677723884583,False,0.6579363435661503,False,False,,False,False
661,Yes,54000,3,DEBTCONSOLIDATION,20000,37.03703703703704,D,False,0.152157437056303,,,,"[""D"", ""F"", ""C"", ""A""]","[0.8055853247642517, 0.10990019887685776, 0.06422878801822662, 0.01691696047782898]",0.8055853247642517,D,0.8055853247642517,0.8055853247642517,False,0.554996671763498,False,False,,False,False
668,Yes,54000,3,PERSONAL,20000,37.03703703703704,D,False,0.2015951052308082,,,,"[""D"", ""F"", ""C"", ""A""]","[0.7381973266601562, 0.14138753712177277, 0.10287750512361526, 0.015346033498644829]",0.7381973266601562,D,0.7381973266601562,0.7381973266601562,False,0.6056412063321532,False,False,,False,False
672,No,54000,4,DEBTCONSOLIDATION,20000,37.03703703703704,D,True,0.7671429812908173,B,,unresolved,"[""B"", ""F"", ""D"", ""C"", ""A""]","[0.662853479385376, 0.1597174108028412, 0.12856751680374146, 0.030458074063062668, 0.018403487280011177]",0.1285675168037414,B,0.662853479385376,0.662853479385376,False,0.6944831002872867,False,False,,False,False
673,No,60000,2,PERSONAL,20000,33.33333333333333,B,False,0.1679290942847728,,,,"[""B"", ""D"", ""F"", ""C"", ""A""]","[0.7621818780899048, 0.09804006665945053, 0.08131498843431473, 0.04400068148970604, 0.014462389051914215]",0.7621818780899048,B,0.7621818780899048,0.7621818780899048,False,0.6552961828853816,False,False,,False,False
684,No,62400,2,HOMEIMPROVEMENT,20000,32.05128205128205,B,False,0.2643603682518005,,,,"[""B"", ""D"", ""F"", ""C"", ""A""]","[0.6221679449081421, 0.15088868141174316, 0.1377459019422531, 0.048078544437885284, 0.04111894592642784]",0.6221679449081421,B,0.6221679449081421,0.6221679449081421,False,0.7606657489847245,False,False,,False,False
692,No,20856,4,VENTURE,10000,47.94783275795934,B,False,0.4716392308473587,,,,"[""B"", ""C"", ""D"", ""F"", ""A""]","[0.29823994636535645, 0.24151840806007385, 0.18961453437805176, 0.17512968182563782, 0.09549740701913834]",0.2982399463653564,B,0.2982399463653564,0.2982399463653564,False,0.9481383568936382,False,False,,False,False
698,Yes,59004,2,PERSONAL,20000,33.89600705036946,D,False,0.1676541306078434,,,,"[""D"", ""F"", ""C"", ""A""]","[0.7701007127761841, 0.10540897399187088, 0.10277538001537323, 0.018293289467692375]",0.7701007127761841,D,0.7701007127761841,0.7701007127761841,False,0.598762113209888,False,False,,False,False
707,Yes,69500,2,VENTURE,20000,28.776978417266186,F,False,0.629971906542778,,,,"[""D"", ""F"", ""C"", ""B"", ""A""]","[0.5445519089698792, 0.2846080958843231, 0.07622431963682175, 0.07161862403154373, 0.022997062653303146]",0.2846080958843231,D,0.5445519089698792,0.5445519089698792,False,0.7137557278390417,False,False,,False,False
711,No,71004,2,PERSONAL,20000,28.16742718720072,,False,0.0,D,,unresolved,"[""D"", ""B"", ""F"", ""A"", ""C""]","[0.5357441902160645, 0.28601011633872986, 0.10125011205673218, 0.04049384221434593, 0.0365016832947731]",0.0,D,0.5357441902160645,0.5357441902160645,False,,False,False,,True,False
713,No,71004,3,EDUCATION,20000,28.16742718720072,D,False,0.4039832651615143,,,,"[""D"", ""B"", ""F"", ""C"", ""A""]","[0.4913455545902252, 0.2993120849132538, 0.11697961390018463, 0.06056464836001396, 0.031798090785741806]",0.4913455545902252,D,0.4913455545902252,0.4913455545902252,False,0.8078612828996616,False,False,,False,False
717,No,66000,3,VENTURE,20000,30.303030303030305,D,False,0.3776393383741379,,,,"[""D"", ""B"", ""F"", ""C"", ""A""]","[0.5068776607513428, 0.26215633749961853, 0.13661888241767883, 0.051281560212373734, 0.04306555911898613]",0.5068776607513428,D,0.5068776607513428,0.5068776607513428,False,0.8053427014312661,False,False,,False,False
718,No,66000,2,DEBTCONSOLIDATION,20000,30.303030303030305,D,False,0.3498262465000152,,,,"[""D"", ""B"", ""F"", ""C"", ""A""]","[0.5524123907089233, 0.25206488370895386, 0.09949035197496414, 0.06529604643583298, 0.030736327171325684]",0.5524123907089233,D,0.5524123907089233,0.5524123907089233,False,0.7917281008269055,False,False,,False,False
728,No,75000,3,PERSONAL,20000,26.666666666666668,B,False,0.5589199513196945,,,,"[""C"", ""B"", ""F"", ""D"", ""A""]","[0.4077093303203583, 0.28986942768096924, 0.16994091868400574, 0.09679897129535675, 0.03568137437105179]",0.2898694276809692,C,0.4077093303203583,0.4077093303203583,False,0.8760960124538725,False,False,,False,False
740,Yes,71004,2,HOMEIMPROVEMENT,20000,28.16742718720072,D,False,0.277703195810318,,,,"[""D"", ""F"", ""C"", ""A""]","[0.6610872745513916, 0.2164936661720276, 0.10015291720628738, 0.019185295328497887]",0.6610872745513916,D,0.6610872745513916,0.6610872745513916,False,0.6338357605549072,False,False,,False,False
741,No,21600,3,VENTURE,7125,32.98611111111111,A,False,0.3172030448913574,,,,"[""A"", ""B"", ""C"", ""D"", ""F""]","[0.5439127683639526, 0.17831885814666748, 0.12857060134410858, 0.09308835119009018, 0.056109365075826645]",0.5439127683639526,A,0.5439127683639526,0.5439127683639526,False,0.8995645305057409,False,False,,False,False
769,No,21600,2,DEBTCONSOLIDATION,2000,9.25925925925926,D,False,0.2961663603782654,,,,"[""D"", ""B"", ""A"", ""C""]","[0.5947367548942566, 0.18706947565078735, 0.13813947141170502, 0.07189597934484482]",0.5947367548942566,D,0.5947367548942566,0.5947367548942566,False,0.8395243828763475,False,False,,False,False
787,No,87000,4,DEBTCONSOLIDATION,20000,22.988505747126435,C,False,0.3361758813261986,,,,"[""C"", ""B"", ""F"", ""D"", ""A""]","[0.5343679189682007, 0.20671968162059784, 0.12429619580507278, 0.09198909252882004, 0.04262705147266388]",0.5343679189682007,C,0.5343679189682007,0.5343679189682007,False,0.8525709767433143,False,False,,False,False
813,Yes,85200,4,VENTURE,20000,23.474178403755868,D,False,0.2721766456961632,,,,"[""D"", ""C"", ""F"", ""A""]","[0.6345023512840271, 0.17885564267635345, 0.14825524389743805, 0.03479438275098801]",0.6345023512840271,D,0.6345023512840271,0.6345023512840271,False,0.7030953207284008,False,False,,False,False
815,Yes,22000,2,DEBTCONSOLIDATION,3000,13.636363636363637,D,False,0.2566752061247825,,,,"[""D"", ""C"", ""F"", ""A""]","[0.6953282356262207, 0.20867864787578583, 0.05748993903398514, 0.0316755585372448]",0.6953282356262207,D,0.6953282356262207,0.6953282356262207,False,0.6887242987891062,False,False,,False,False
818,No,22000,4,DEBTCONSOLIDATION,8500,38.63636363636363,D,False,0.2879014611244201,,,,"[""D"", ""C"", ""B"", ""A"", ""F""]","[0.5807000994682312, 0.15650302171707153, 0.14043115079402924, 0.08514438569545746, 0.03722137212753296]",0.5807000994682312,D,0.5807000994682312,0.5807000994682312,False,0.8507258221010595,False,False,,False,False
820,No,87996,3,HOMEIMPROVEMENT,20000,22.728305832083276,F,False,0.5879579931497574,C,,unresolved,"[""C"", ""B"", ""D"", ""F"", ""A""]","[0.33186668157577515, 0.2084820568561554, 0.17760305106639862, 0.15595069527626038, 0.12609754502773285]",0.1559506952762603,C,0.3318666815757751,0.3318666815757751,True,0.9605811874540744,False,False,,False,False
822,No,100000,2,HOMEIMPROVEMENT,20000,20.0,C,False,0.4425081312656402,,,,"[""C"", ""B"", ""D"", ""F"", ""A""]","[0.441051185131073, 0.3260674476623535, 0.13992968201637268, 0.054232604801654816, 0.03871907666325569]",0.441051185131073,C,0.441051185131073,0.441051185131073,False,0.8916305211225547,False,False,,False,False
823,Yes,100000,2,HOMEIMPROVEMENT,20000,20.0,C,False,0.3010168001055717,,,,"[""C"", ""D"", ""F"", ""A""]","[0.6347914338111877, 0.23682503402233124, 0.09943562746047974, 0.025687292218208313]",0.6347914338111877,C,0.6347914338111877,0.6347914338111877,False,0.7247703824867533,False,False,,False,False
827,Yes,74800,2,MEDICAL,20000,26.737967914438503,F,False,0.3695334643125534,,,,"[""F"", ""D"", ""C"", ""A""]","[0.5455446839332581, 0.28461161255836487, 0.1410781741142273, 0.02466510608792305]",0.5455446839332581,F,0.5455446839332581,0.5455446839332581,False,0.6443392969360549,False,False,,False,False
833,Yes,95000,2,DEBTCONSOLIDATION,20000,21.052631578947366,D,False,0.2700162753462791,,,,"[""D"", ""C"", ""F"", ""A""]","[0.6736685037612915, 0.2137010544538498, 0.08428894728422165, 0.024482177570462227]",0.6736685037612915,D,0.6736685037612915,0.6736685037612915,False,0.6870388162023996,False,False,,False,False
868,Yes,175000,2,DEBTCONSOLIDATION,20000,11.428571428571429,C,False,0.374480202794075,,,,"[""C"", ""B"", ""D"", ""F"", ""A""]","[0.515834629535675, 0.2647950351238251, 0.12863096594810486, 0.04918869212269783, 0.04155062139034271]",0.515834629535675,C,0.515834629535675,0.515834629535675,False,0.8751764028798193,False,False,,False,False
901,No,39600,2,EDUCATION,19000,47.97979797979798,B,False,0.4913969784975052,,,,"[""B"", ""F"", ""D"", ""C"", ""A""]","[0.35472843050956726, 0.33752238750457764, 0.16828951239585876, 0.07531709969043732, 0.06414255499839783]",0.3547284305095672,B,0.3547284305095672,0.3547284305095672,False,0.8291162058675382,False,False,,False,False
